,headline,url
20,Ashish Kacholia Backed Small Cap Stock Hits All-Time High After Bagging ₹1850 Cr Order - Benzinga India,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vaW4uYmVuemluZ2EuY29tL2NvbnRlbnQvMzk2NTg3MzcvYXNoaXNoLWthY2hvbGlhLWJhY2tlZC1zbWFsbC1jYXAtc3RvY2staGl0cy1hbGwtdGltZS1oaWdoLWFmdGVyLWJhZ2dpbmctMS04NTAtY3Itb3JkZXLSAQA?oc=5
21,"Apple may revive plans to make iPads in India, eyes Pune for AirPod cases - Moneycontrol",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL3RlY2hub2xvZ3kvYXBwbGUtbWF5LWJyaW5nLWJhY2stcGxhbnMtdG8tbWFrZS1pcGFkcy1pbi1pbmRpYS1leWVzLXB1bmUtZm9yLWFpcnBvZC1jYXNlcy1hcnRpY2xlLTEyNzYzODIwLmh0bWzSAY4BaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS90ZWNobm9sb2d5L2FwcGxlLW1heS1icmluZy1iYWNrLXBsYW5zLXRvLW1ha2UtaXBhZHMtaW4taW5kaWEtZXllcy1wdW5lLWZvci1haXJwb2QtY2FzZXMtYXJ0aWNsZS0xMjc2MzgyMC5odG1sL2FtcA?oc=5
22,Paytm stock zooms 9% after Vijay Shekhar Sharma aims for $100 billion valuation - Moneycontrol,https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvbWFya2V0cy9wYXl0bS1zdG9jay16b29tcy05LWFmdGVyLXZpamF5LXNoZWtoYXItc2hhcm1hLWFpbXMtZm9yLTEwMC1iaWxsaW9uLXZhbHVhdGlvbi0xMjc2NDQ3MS5odG1s0gEA?oc=5
23,"Top Gainers and Losers today on 8 July, 2024: Oil & Natural Gas Corporation, ITC, Divis Laboratories, Titan Company among most active stocks; Check full list here | Stock Market News - Mint",https://news.google.com/rss/articles/CBMi4AFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RvcC1nYWluZXJzLWFuZC1sb3NlcnMtdG9kYXktb24tOC1qdWx5LTIwMjQtb2lsLW5hdHVyYWwtZ2FzLWNvcnBvcmF0aW9uLWl0Yy1kaXZpcy1sYWJvcmF0b3JpZXMtdGl0YW4tY29tcGFueS1hbW9uZy1tb3N0LWFjdGl2ZS1zdG9ja3MtY2hlY2stZnVsbC1saXN0LWhlcmUtMTE3MjA0MzQ3OTk1MjEuaHRtbNIB5AFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RvcC1nYWluZXJzLWFuZC1sb3NlcnMtdG9kYXktb24tOC1qdWx5LTIwMjQtb2lsLW5hdHVyYWwtZ2FzLWNvcnBvcmF0aW9uLWl0Yy1kaXZpcy1sYWJvcmF0b3JpZXMtdGl0YW4tY29tcGFueS1hbW9uZy1tb3N0LWFjdGl2ZS1zdG9ja3MtY2hlY2stZnVsbC1saXN0LWhlcmUvYW1wLTExNzIwNDM0Nzk5NTIxLmh0bWw?oc=5
24,SJVN share price target 2024: Rs 1 lakh became Rs 3 lakh in 1 yr! Time to BUY PSU stock for more gains? - ET Now,https://news.google.com/rss/articles/CBMimAFodHRwczovL3d3dy5ldG5vd25ld3MuY29tL21hcmtldHMvc2p2bi1zaGFyZS1wcmljZS10YXJnZXQtMjAyNC1ycy0xLWxha2gtYmVjYW1lLXJzLTMtbGFraC1pbi0xLXlyLXRpbWUtdG8tYnV5LXBzdS1zdG9jay1mb3ItbW9yZS1nYWlucy1hcnRpY2xlLTExMTU3MjUzOdIBAA?oc=5
25,NHPC Shares Extend Gains To 4th Day As Brokerage Issues 'Buy' Call - Benzinga India,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vaW4uYmVuemluZ2EuY29tL2NvbnRlbnQvMzk2NTg1NTQvbmhwYy1zaGFyZXMtZXh0ZW5kLWdhaW5zLXRvLTR0aC1kYXktYXMtYnJva2VyYWdlLWlzc3Vlcy1idXktY2FsbNIBAA?oc=5
26,"Toyota Dealer In UP Offers 100% Road Tax Waiver On Hybrids - Innova HyCross, HyRyder, Camry (Up To Rs 4.4 ... - RushLane",https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5ydXNobGFuZS5jb20vdG95b3RhLWRlYWxlci1pbi11cC1vZmZlcnMtMTAwLXJvYWQtdGF4LXdhaXZlci1vbi1oeWJyaWRzLWlubm92YS1oeWNyb3NzLWh5cnlkZXItY2FtcnktdXAtdG8tcnMtNC00LWwtb2ZmLTEyNTAwNzczLmh0bWzSAZQBaHR0cHM6Ly93d3cucnVzaGxhbmUuY29tL2FtcC90b3lvdGEtZGVhbGVyLWluLXVwLW9mZmVycy0xMDAtcm9hZC10YXgtd2FpdmVyLW9uLWh5YnJpZHMtaW5ub3ZhLWh5Y3Jvc3MtaHlyeWRlci1jYW1yeS11cC10by1ycy00LTQtbC1vZmYtMTI1MDA3NzMuaHRtbA?oc=5
27,"Bansal Wire IPO allotment to be finalised today: latest GMP, step-by-step guide to check status | Stock Market News - Mint",https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2lwby9iYW5zYWwtd2lyZS1pcG8tYWxsb3RtZW50LXRvLWJlLWZpbmFsaXNlZC10b2RheS1sYXRlc3QtZ21wLXN0ZXAtYnktc3RlcC1ndWlkZS10by1jaGVjay1zdGF0dXMtMTE3MjA0MDczNTU2MTcuaHRtbNIBmQFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2lwby9iYW5zYWwtd2lyZS1pcG8tYWxsb3RtZW50LXRvLWJlLWZpbmFsaXNlZC10b2RheS1sYXRlc3QtZ21wLXN0ZXAtYnktc3RlcC1ndWlkZS10by1jaGVjay1zdGF0dXMvYW1wLTExNzIwNDA3MzU1NjE3Lmh0bWw?oc=5
28,"Housing prices in NCR and MMR surge 49% in 5 years, unsold inventory plunges: ANAROCK - CNBCTV18",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5jbmJjdHYxOC5jb20vcmVhbC1lc3RhdGUvaG91c2luZy1wcmljZXMtaW4tbmNyLWFuZC1tbXItc3VyZ2UtNDktaW4tNS15ZWFycy11bnNvbGQtaW52ZW50b3J5LXBsdW5nZXMtYW5hcm9jay0xOTQzOTM2MC5odG3SAYgBaHR0cHM6Ly93d3cuY25iY3R2MTguY29tL3JlYWwtZXN0YXRlL2hvdXNpbmctcHJpY2VzLWluLW5jci1hbmQtbW1yLXN1cmdlLTQ5LWluLTUteWVhcnMtdW5zb2xkLWludmVudG9yeS1wbHVuZ2VzLWFuYXJvY2stMTk0MzkzNjAuaHRtL2FtcA?oc=5
29,Gold price in India: Rates on July 8 - FXStreet,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9uZXdzL2luZGlhLWdvbGQtcHJpY2UtdG9kYXktZ29sZC1mYWxscy1hY2NvcmRpbmctdG8tZnhzdHJlZXQtZGF0YS0yMDI0MDcwODA1MjjSAWtodHRwczovL3d3dy5meHN0cmVldC5jb20vYW1wL25ld3MvaW5kaWEtZ29sZC1wcmljZS10b2RheS1nb2xkLWZhbGxzLWFjY29yZGluZy10by1meHN0cmVldC1kYXRhLTIwMjQwNzA4MDUyOA?oc=5
